img_path,text
word_images/test/A.Banoo Light_A.Banoo Light_8_1_371b7c99.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_2_903b959d.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_3_ac03a655.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_4_ea897833.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_5_eaff3726.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_6_a6de9b4c.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_7_279539e6.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_8_618725ef.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_9_2d7772ff.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_10_32c7531e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_11_1c682b8e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_12_d3e4ae6e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_13_6cfa757e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_14_b2d1b243.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_15_5fb8599a.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_16_9c53cf18.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_17_8d5e19bd.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_18_251fa976.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_19_b3b83c77.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_20_16868794.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_21_d7b28270.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_22_3c26643b.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_23_bd57c255.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_24_3772ba4e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_25_1181bbb5.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_26_9b5c5f58.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_27_06e433de.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_28_52ed6002.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_29_16a67033.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_30_2554c757.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_31_eb45ab81.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_32_9f47ce9e.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_33_ef216f02.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_34_16f3183b.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_35_67354afe.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_36_4a5512b8.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_37_e70b5904.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_38_086ce5ce.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_39_450058b6.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_40_1b7d7059.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_41_bc803ca5.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_42_1d8a1e9d.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_43_204e589a.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_44_86353d16.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_45_2767258f.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_46_bea96473.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_47_8e3d5ea4.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_48_22b90096.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_49_94eb715d.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_50_48000229.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_51_d7eddbd0.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_52_4e494f35.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_53_54b4a7a0.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_54_6d006d93.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_55_da02afc5.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_56_028b8b25.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_57_9cf6bc60.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_58_6648c961.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_59_e45351af.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_60_0e8304fe.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_61_3ecdc2ee.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_62_65102ac8.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_63_0b59691a.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_64_7961cba4.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_65_de780f68.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_66_79ba91fc.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_67_1ee907e1.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_68_4ea13819.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_69_0c3dbab6.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_70_00a34183.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_71_78c70266.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_72_2a791602.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_73_32dfa76d.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_74_c8dde1e5.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_75_f704474c.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_76_1a07cb53.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_77_abb9b8e5.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_78_8635dda3.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_79_33846f2f.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_80_a304ce26.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_81_55b73c4b.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_82_6a02fe3c.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_83_8fcb6274.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_84_f549ac22.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_85_079ff5cb.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_86_43e20191.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_87_dc826d57.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_88_2125094a.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_89_0f8977ca.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_90_184c4d95.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_91_0eb97a83.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_92_f271a026.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_93_8df5165a.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_94_2c802fbb.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_95_00e719ea.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_96_0865a78c.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_97_a384bf53.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_98_d9531bde.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_99_297b3fbd.jpg,A.Banoo Light
word_images/test/A.Banoo Light_A.Banoo Light_8_100_c5abb1d5.jpg,A.Banoo Light
word_images/test/AGCRegular_AGCRegular_9_1_359bb98e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_2_f8b2d30c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_3_c82ccf68.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_4_510abcab.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_5_204e78de.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_6_e0ba5396.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_7_5213a1cd.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_8_f17854d1.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_9_06956399.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_10_59255301.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_11_60af258d.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_12_c296dac2.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_13_a0a4fb7e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_14_230c2817.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_15_8ac90417.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_16_8a090f5d.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_17_36304bb6.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_18_4d10bfb7.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_19_9b28896e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_20_994ca42e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_21_80e3fe02.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_22_679a0e09.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_23_13d8ed6c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_24_8e83b5a7.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_25_6a475e5c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_26_38e36b41.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_27_a3907a90.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_28_772e0eab.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_29_d8788415.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_30_b0494d05.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_31_08e32b50.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_32_6021c91e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_33_32ddd87e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_34_a99374ea.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_35_e7b950f8.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_36_a3a9ce8f.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_37_7573e977.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_38_3ae4d97e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_39_4858fc6d.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_40_65aaf70e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_41_06c59b9a.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_42_bbf4974d.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_43_e264b55e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_44_bb119e82.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_45_56b923a6.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_46_36ed15dc.jpg,AGCRegular
